Name,type,旧帝大,旧六医大,新八医大,NISTEP,国立財務
お茶の水女子大学,国立,0,0,0,,H
愛知教育大学,国立,0,0,0,,E
愛媛大学,国立,0,0,0,G3,G
旭川医科大学,国立,0,0,0,,D
一橋大学,国立,0,0,0,,C
茨城大学,国立,0,0,0,,H
宇都宮大学,国立,0,0,0,,H
横浜国立大学,国立,0,0,0,,H
横浜市立大学,公立,0,0,0,G3,
岡山大学,国立,0,1,0,G2,A
岩手大学,国立,0,0,0,,H
岐阜大学,国立,0,0,0,G3,G
宮崎大学,国立,0,0,0,,G
宮城教育大学,国立,0,0,0,,E
京都大学,国立,1,0,0,G1,A
京都教育大学,国立,0,0,0,,E
京都工芸繊維大学,国立,0,0,0,,B
近畿大学,私立,0,0,0,G3,
金沢大学,国立,0,1,0,G2,G
九州大学,国立,1,0,0,G2,A
九州工業大学,国立,0,0,0,,B
熊本大学,国立,0,1,0,G3,G
群馬大学,国立,0,0,1,G3,G
慶應義塾大学,私立,0,0,0,G2,
広島大学,国立,0,0,1,G2,A
弘前大学,国立,0,0,1,,G
香川大学,国立,0,0,0,,G
高知大学,国立,0,0,0,,G
佐賀大学,国立,0,0,0,,G
埼玉大学,国立,0,0,0,,H
三重大学,国立,0,0,0,G3,G
山形大学,国立,0,0,0,G3,G
山口大学,国立,0,0,0,G3,G
山梨大学,国立,0,0,0,,G
滋賀大学,国立,0,0,0,,C
滋賀医科大学,国立,0,0,0,,D
鹿屋体育大学,国立,0,0,0,,B
鹿児島大学,国立,0,0,1,G3,G
室蘭工業大学,国立,0,0,0,,B
秋田大学,国立,0,0,0,,G
順天堂大学,私立,0,0,0,G3,
小樽商科大学,国立,0,0,0,,C
上越教育大学,国立,0,0,0,,E
信州大学,国立,0,0,1,G3,G
新潟大学,国立,0,1,0,G3,A
神戸大学,国立,0,0,0,G2,A
政策研究大学院大学,国立,0,0,0,,F
静岡大学,国立,0,0,0,G3,H
千葉大学,国立,0,1,0,G2,A
早稲田大学,私立,0,0,0,G2,
総合研究大学院大学,国立,0,0,0,,F
帯広畜産大学,国立,0,0,0,,B
大阪大学,国立,1,0,0,G1,A
大阪外国語大学,国立,0,0,0,,C
大阪教育大学,国立,0,0,0,,E
大阪市立大学,公立,0,0,0,G3,
大阪府立大学,公立,0,0,0,G3,
大分大学,国立,0,0,0,,G
筑波大学,国立,0,0,0,G2,A
筑波技術大学,国立,0,0,0,,C
長岡技術科学大学,国立,0,0,0,,B
長崎大学,国立,0,1,0,G3,G
鳥取大学,国立,0,0,1,G3,G
電気通信大学,国立,0,0,0,,B
島根大学,国立,0,0,0,,G
東海大学,私立,0,0,0,G3,
東京大学,国立,1,0,0,G1,A
東京医科歯科大学,国立,0,0,1,G3,D
東京海洋大学,国立,0,0,0,,B
東京外国語大学,国立,0,0,0,,C
東京学芸大学,国立,0,0,0,,E
東京工業大学,国立,0,0,0,G2,B
東京農工大学,国立,0,0,0,G3,B
東京理科大学,私立,0,0,0,G3,
東京藝術大学,国立,0,0,0,,C
東北大学,国立,1,0,0,G1,A
徳島大学,国立,0,0,1,G3,G
奈良教育大学,国立,0,0,0,,E
奈良女子大学,国立,0,0,0,,H
奈良先端科学技術大学院大学,国立,0,0,0,,F
日本大学,私立,0,0,0,G2,
浜松医科大学,国立,0,0,0,,D
富山大学,国立,0,0,0,G3,G
福井大学,国立,0,0,0,,G
福岡教育大学,国立,0,0,0,,E
福島大学,国立,0,0,0,,C
兵庫教育大学,国立,0,0,0,,E
豊橋技術科学大学,国立,0,0,0,,B
北海道大学,国立,1,0,0,G2,A
北海道教育大学,国立,0,0,0,,E
北見工業大学,国立,0,0,0,,B
北里大学,私立,0,0,0,G3,
北陸先端科学技術大学院大学,国立,0,0,0,,F
名古屋大学,国立,1,0,0,G2,A
名古屋工業大学,国立,0,0,0,G3,B
鳴門教育大学,国立,0,0,0,,E
琉球大学,国立,0,0,0,,G
和歌山大学,国立,0,0,0,,H
東京女子医科大学,私立,0,0,0,G3,
